City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Bollnas,SE,50.97,overcast clouds,61.3482,16.3946,Grand Hotel
Svetlaya,RU,54.03,overcast clouds,46.5389,138.3297,
Winnemucca,US,60.85,overcast clouds,40.973,-117.7357,Winners Inn Casino
Korem,ET,60.08,overcast clouds,12.5058,39.5228,Lakomeliza Hotel
Sainte-Marie,RE,68.41,few clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
Motala,SE,51.57,clear sky,58.5371,15.0365,Wärdshuset Berggrens Källare
Paita,PE,65.32,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
Esso,RU,52.7,light rain,55.9333,158.7,Paramushir Tur
Bairnsdale,AU,53.8,overcast clouds,-37.8333,147.6167,Town Central Motel
San Quintin,MX,68.47,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
Lavrentiya,RU,56.17,clear sky,65.5833,-171.0,
Chapleau,CA,60.89,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
Sosnovo-Ozerskoye,RU,62.8,overcast clouds,52.5249,111.5418,
